time_ms	cdf_baseline	cdf_jesspro
1012.000000	0.935798	0.938338
1013.000000	0.935798	0.938450
1014.000000	0.935836	0.938487
1015.000000	0.935910	0.938525
1016.000000	0.935910	0.938599
1017.000000	0.935948	0.938637
1019.000000	0.935985	0.938711
1020.000000	0.936060	0.938711
1021.000000	0.936134	0.938711
1022.000000	0.936172	0.938711
1023.000000	0.936209	0.938711
1024.000000	0.936246	0.938749
1025.000000	0.936246	0.938824
1026.000000	0.936246	0.938861
1027.000000	0.936246	0.938898
1028.000000	0.936284	0.938936
1029.000000	0.936321	0.939085
1030.000000	0.936321	0.939160
1031.000000	0.936359	0.939197
1032.000000	0.936396	0.939272
1033.000000	0.936508	0.939272
1034.000000	0.936508	0.939346
1035.000000	0.936508	0.939458
1037.000000	0.936508	0.939496
1038.000000	0.936583	0.939496
1040.000000	0.936657	0.939496
1041.000000	0.936769	0.939570
1042.000000	0.936807	0.939570
1043.000000	0.936881	0.939608
1044.000000	0.936956	0.939608
1045.000000	0.936993	0.939683
1046.000000	0.937068	0.939683
1047.000000	0.937180	0.939757
1048.000000	0.937180	0.939832
1049.000000	0.937255	0.939907
1050.000000	0.937292	0.939907
1051.000000	0.937330	0.939907
1052.000000	0.937367	0.939981
1053.000000	0.937367	0.940056
1054.000000	0.937442	0.940093
1055.000000	0.937442	0.940131
1056.000000	0.937479	0.940205
1057.000000	0.937554	0.940205
1058.000000	0.937628	0.940355
1059.000000	0.937703	0.940430
1060.000000	0.937703	0.940504
1061.000000	0.937778	0.940616
1062.000000	0.937815	0.940616
1063.000000	0.937852	0.940654
1064.000000	0.937927	0.940691
1065.000000	0.937965	0.940691
1067.000000	0.938002	0.940691
1068.000000	0.938039	0.940728
1069.000000	0.938114	0.940766
1070.000000	0.938226	0.940878
1071.000000	0.938301	0.940915
1073.000000	0.938338	0.940952
1075.000000	0.938375	0.940990
1076.000000	0.938413	0.941064
1077.000000	0.938562	0.941102
1079.000000	0.938637	0.941139
1080.000000	0.938749	0.941176
1081.000000	0.938786	0.941214
1082.000000	0.938786	0.941326
1083.000000	0.938824	0.941363
1084.000000	0.938824	0.941401
1085.000000	0.938898	0.941438
1086.000000	0.938898	0.941475
1087.000000	0.938898	0.941587
1088.000000	0.938973	0.941625
1089.000000	0.939010	0.941699
1090.000000	0.939085	0.941737
1091.000000	0.939085	0.941774
1092.000000	0.939122	0.941849
1094.000000	0.939122	0.941961
1095.000000	0.939122	0.941998
1096.000000	0.939122	0.942035
1097.000000	0.939197	0.942035
1098.000000	0.939272	0.942110
1099.000000	0.939272	0.942148
1100.000000	0.939346	0.942185
1101.000000	0.939570	0.942222
1102.000000	0.939570	0.942260
1103.000000	0.939645	0.942372
1104.000000	0.939645	0.942446
1105.000000	0.939683	0.942521
1106.000000	0.939720	0.942596
1107.000000	0.939720	0.942633
1108.000000	0.939757	0.942708
1110.000000	0.939757	0.942745
1111.000000	0.939795	0.942820
1112.000000	0.939832	0.942894
1113.000000	0.939869	0.942969
1114.000000	0.939907	0.943007
1115.000000	0.939981	0.943007
1116.000000	0.939981	0.943044
1117.000000	0.940056	0.943044
1118.000000	0.940056	0.943081
1119.000000	0.940056	0.943119
1120.000000	0.940131	0.943119
1121.000000	0.940205	0.943119
1122.000000	0.940243	0.943119
1123.000000	0.940243	0.943231
1124.000000	0.940280	0.943268
1125.000000	0.940355	0.943343
1126.000000	0.940392	0.943417
1127.000000	0.940392	0.943492
1128.000000	0.940392	0.943529
1129.000000	0.940467	0.943567
1131.000000	0.940467	0.943604
1132.000000	0.940504	0.943604
1133.000000	0.940579	0.943641
1134.000000	0.940579	0.943679
1135.000000	0.940616	0.943679
1136.000000	0.940616	0.943754
1137.000000	0.940691	0.943754
1138.000000	0.940691	0.943791
1139.000000	0.940728	0.943828
1140.000000	0.940728	0.943866
1141.000000	0.940766	0.943903
1142.000000	0.940840	0.943903
1143.000000	0.940878	0.943978
1144.000000	0.940878	0.944015
1145.000000	0.940952	0.944052
1147.000000	0.940990	0.944052
1148.000000	0.940990	0.944090
1149.000000	0.941027	0.944127
1150.000000	0.941064	0.944164
1151.000000	0.941139	0.944164
1152.000000	0.941176	0.944164
1153.000000	0.941214	0.944202
